popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
610,7FPkZue0zzjHaOPJb4WCw3,The Pigeon Detectives,Q1469656,214476,184605,The Pigeon Detectives,ok,24469,12,strict,UK003F,Leeds,True,5.331378701412501,4.388616220951455,4.845682749542588,-0.45706652859113284,397.0,681.0
611,2McLd7klWE4UjkPLqqMwLv,The Qemists,Q2067701,105080,184241,The Qemists,ok,11266,12,strict,UK515F,Brighton and Hove,True,5.021520064114033,4.051769746899332,4.624108751383232,-0.5723390044838998,558.0,806.0
612,1G3Eh23f2hwhEnAMw7HsZ6,Bomb The Bass,Q891757,54515,184150,Bomb the Bass,ok,31301,12,excluded_no_defensible_fua,,,False,4.736516016421845,4.495558212547868,4.420307795923889,0.07525041662397935,709.0,641.0
613,3HghjRl8Mo6OJWG0WElY2z,Way Out West,Q1431341,50191,183677,Way Out West (duo),ok,13346,12,excluded_no_defensible_fua,,,False,4.700625848604062,4.125351120514752,4.394643421848892,-0.26929230133413995,734.0,791.0
614,7vPXrGlSGukcwpaPxUfKKR,Japan,Q174933,251906,183396,Japan (band),ok,142804,12,strict,UK001F,London,True,5.4012385118246655,5.154740372381317,4.895638166756819,0.25910220562449826,371.0,279.0
615,4SXsNXgRundFdewI58vbZT,King King,Q21288873,31218,182479,King King (band),ok,19686,12,excluded_no_defensible_fua,,,False,4.49440507627968,4.294157480769691,4.247178883097273,0.04697859767241752,815.0,720.0
616,2qhmNI4ZHPpeDutdg473Z3,The Future Sound Of London,Q168031,179121,181260,The Future Sound of London,ok,52531,12,strict,UK008F,Manchester,True,5.253146505164931,4.720415668275947,4.789740398996896,-0.06932473072094947,436.0,523.0
617,6RDAHUqUqJab8TZmyRHFss,Stooshe,Q1346917,81733,180657,Stooshe,ok,17445,12,strict,UK001F,London,True,4.91239743993843,4.24167097378413,4.5460772453421745,-0.30440627155804467,621.0,745.0
618,3EbMlZ7ZKmFWPTHrLzpzvs,Bolt Thrower,Q662463,285017,180166,Bolt Thrower,ok,138422,12,strict,UK025F,Coventry,True,5.4548707645208125,5.141205119884428,4.933989567136636,0.20721555274779213,340.0,282.0
619,3zIIUxcnIoUMouVQdphkeC,Showaddywaddy,Q731797,93848,178641,Showaddywaddy,ok,143955,12,excluded_no_defensible_fua,,,False,4.972425021781882,5.15822675385945,4.5890018235461385,0.5692249303133119,587.0,276.0
